name,online_order,book_table,rate,votes,rest_type,cuisines,cost2plates,type,location
Jalsa,Yes,Yes,4,775,Casual Dining,"North Indian, Mughlai, Chinese",800,Buffet,Banashankari
Spice Elephant,Yes,No,4,787,Casual Dining,others,800,Buffet,Banashankari
San Churro Cafe,Yes,No,3,918,others,others,800,Buffet,Banashankari
Addhuri Udupi Bhojana,No,No,3,88,Quick Bites,"South Indian, North Indian",300,Buffet,Banashankari
Grand Village,No,No,3,166,Casual Dining,others,600,Buffet,Banashankari
Timepass Dinner,Yes,No,3,286,Casual Dining,North Indian,600,Buffet,Banashankari
Rosewood International Hotel - Bar & Restaurant,No,No,3,8,Casual Dining,others,800,Buffet,Banashankari
Onesta,Yes,Yes,4,2556,others,others,600,Cafes,Banashankari
Penthouse Cafe,Yes,No,4,324,Cafe,others,700,Cafes,Banashankari
Smacznego,Yes,No,4,504,Cafe,others,550,Cafes,Banashankari
Cafe Shuffle,Yes,Yes,4,150,Cafe,others,600,Cafes,Banashankari
The Coffee Shack,Yes,Yes,4,164,Cafe,others,500,Cafes,Banashankari
Caf-Eleven,No,No,4,424,Cafe,"Cafe, Continental",450,Cafes,Banashankari
San Churro Cafe,Yes,No,3,918,others,others,800,Cafes,Banashankari
Cafe Vivacity,Yes,No,3,90,Cafe,Cafe,650,Cafes,Banashankari
Catch-up-ino,Yes,No,3,133,Cafe,others,800,Cafes,Banashankari
Kirthi's Biryani,Yes,No,3,144,Cafe,others,700,Cafes,Banashankari
T3H Cafe,No,No,3,93,Cafe,others,300,Cafes,Banashankari
360 Atoms Restaurant And Cafe,Yes,No,3,13,Cafe,others,400,Cafes,Banashankari
The Vintage Cafe,Yes,No,3,62,Cafe,others,400,Cafes,Banashankari
Woodee Pizza,Yes,No,3,180,Cafe,others,500,Cafes,Banashankari
Cafe Coffee Day,No,No,3,28,Cafe,"Cafe, Fast Food",900,Cafes,Banashankari
My Tea House,Yes,No,3,62,others,others,600,Cafes,Banashankari
Hide Out Cafe,No,No,3,31,Cafe,Cafe,300,Cafes,Banashankari
CAFE NOVA,No,No,3,11,Cafe,"Cafe, Bakery",600,Cafes,Banashankari
Coffee Tindi,Yes,No,3,75,others,others,200,Cafes,Banashankari
Sea Green Cafe,No,No,3,4,Cafe,others,500,Cafes,Banashankari
Cuppa,No,No,3,23,Cafe,"Cafe, Fast Food",550,Cafes,Banashankari
Srinathji's Cafe,No,No,3,148,others,others,550,Cafes,Banashankari
Redberrys,Yes,No,4,219,Cafe,others,600,Cafes,Banashankari
Foodiction,Yes,No,2,506,Quick Bites,others,500,Delivery,Banashankari
Sweet Truth,Yes,No,3,35,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
Ovenstory Pizza,Yes,No,3,172,Delivery,Pizza,750,Delivery,Banashankari
Faasos,Yes,No,4,415,Quick Bites,others,500,Delivery,Banashankari
